Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IL,2017,"12        ",Male,17,Ambidextrous,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2015,"12        ",Male,17,Ambidextrous,185,29,183,1,Bus,20,.294,51,Athletics,540,267,0,481,861,1000,29,"Same length",75,80,"Ring finger",May,Spring,No,No,Pizza/Pasta,"Sports drink",History,6,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,21,16,1,4,50,25,0,12,5,20,8,26,0,Some,"Graduate degree",Pop,"Super strength",Healthy,Other,"Arts, culture, sports"
USA,IL,2013,"12        ",Male,18,Right-Handed,182,28.5,199,6,Car,6,0.357,39,Soccer,1000,1000,1000,1000,1000,1000,28.5,"Same length",850,100,"Ring finger",August,Summer,No,No,Pizza/Pasta,Tea,History,8,10,4,"Yes - broadband connection","Text messaging",14,15,7,0.5,10,5,5,2,4,0.5,10,5,0,3,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person","Arts, culture, sports"
USA,IL,2014,"12        ",Male,17,Right-Handed,158.4,23.2,154.9,1,Car,"10 ",.75,48,Basketball,10,10,10,10,500,500,23.81,"Left foot",76.2,69.85,"Index finger",April,Spring,No,No,Pizza/Pasta,Water,"Physical education",7,8,4,"Yes - broadband connection","Cell phone",200,200,12,0,1,2,12,0,1,1,2,1,25,4,None,"Graduate degree",Pop,"Super strength",Happy,"Sports person",Religious
USA,IL,2018,"12        ",Female,16,Left-Handed,169,24,165,2,Car,10,0.712,41,Dancing,1000,1000,950,950,750,900,23.5,"Right foot",94,102,"Ring finger",May,Spring,No,No,"No favorite",Water,Music,7,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,4,6,0.3,4,,,,,,,,,,,,,,,,
USA,IL,2016,"9         ",Male,15,Right-Handed,172,27,167,2,Car,10,1,4,Lacrosse,7,7,7,7,8,7,23,"Left foot",16,1.6,"Ring finger",February,Summer,Yes,No,Desserts,Water,Other,7,9,4,"Yes - broadband connection","Text messaging",20,40,20,.5,5,3,7,1,1,1,1,3,1,1,"A lot","Graduate degree",Other,Invisibility,Happy,"Sports person",Health
USA,IL,2018,"12        ",Male,17,Right-Handed,183,25,183,1,Car,5,0.366,36,"Hockey (Ice)",250,250,500,100,800,1000,25,"Same length",90,80,"Index finger",February,Fall,Yes,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",6.5,11,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",15,18,10,0.5,2,2,5,4,40,1,2,4,12,0,"Very little","Graduate degree",Country,Telepathy,Rich,"Business person",Health
USA,IL,2016,"9         ",Female,15,Right-Handed,165,23,152,2,Car,"25 ",.456,53,Dancing,1000,900,800,900,100,500,24,"Left foot",90,80,,January,Summer,No,No,Breads/Sandwiches,Water,English,7,9,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,54,5,.5,9,2,5,1,15,12,13,19,10,15,"A lot","Graduate degree",Country,Telepathy,Happy,Actor,"International aid"
USA,IL,2017,"9         ",Male,14,Right-Handed,168,23,173,2,Walk,10,0.429,50,Soccer,500,500,500,700,900,900,24,"Left foot",90,88,"Index finger",March,Spring,No,No,"No favorite",Juice,History,9,9,4,"Yes - broadband connection","Text messaging",50,50,2,.2,6,30,5,2,25,20,25,30,0,5,Some,"Graduate degree",Other,Invisibility,Rich,"Sports person",Health
USA,IL,2016,"12        ",Male,17,Right-Handed,175.3,24.2,177.8,2,Car,5,0.415,32,Gymnastics,500,500,500,500,500,700,25.4,"Left foot",76.2,88.9,"Ring finger",October,Summer,No,No,Meat,Water,Science,7,10,4,"Yes - broadband connection","Text messaging",50,50,15,3,10,20,20,7,15,30,10,5,5,7,Some,"Graduate degree",Pop,Invisibility,Happy,Relative,"Arts, culture, sports"
USA,IL,2016,"9         ",Female,14,Right-Handed,164,25,169,1,Car,30,.854,45,Swimming,660,500,900,750,990,1000,25,"Same length",65,70,"Ring finger",July,Summer,No,No,Pizza/Pasta,Water,Languages,6,10,3,"Yes - broadband connection",Other,5,5,10,0,8,2,3,0,15,15,15,10,0,5,"A lot","Undergraduate degree",Pop,Invisibility,Happy,"Musician or singer","International aid"
USA,IL,2019,"10        ",Female,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2015,"12        ",Female,17,Right-Handed,160,22,160,1,Car,7,.743,,Tennis,,,,,,,22,"Same length",80,80,"Same length",February,Summer,Yes,No,Desserts,Juice,English,5,8,4,"Yes - broadband connection","Cell phone",20,,,,,,,,,,,,,,,,,,,,
USA,IL,2019,"10        ",Male,15,Right-Handed,157.4,23,48,2,Bicycle,13,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2017,"12        ",Male,17,Right-Handed,173,27.8,186,2,Car,10,0.40,40,Walking/Hiking,900,800,1000,800,700,700,27.6,"Right foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2015,"12        ",Female,17,Right-Handed,175,23,146,1,Car,15,.311,34,Other,700,500,100,300,900,1000,23,"Right foot",9,7.3,"Index finger",November,Fall,No,No,Pizza/Pasta,Water,Science,8,10,6,"Yes - broadband connection","Text messaging",200,300,15,0,10,10,15,0,3,3,10,2,10,1,"A lot","Graduate degree",Country,Telepathy,Happy,Other,"International aid"
USA,IL,2015,"12        ",Male,17,Left-Handed,190.5,20,187,3,Car,10,.331,57,Swimming,663,278,668,636,503,524,,"Same length",95,95,"Same length",October,Spring,No,No,"Rice/Noodle dishes",Water,History,7,9,4,"Yes - broadband connection","In person",30,32,5,5,5,5,5,5,5,5,5,5,5,5,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Happy,Other,Health
USA,IL,2014,"12        ",Male,17,Right-Handed,170,"27 ",173,,Car,20,.316,44,"Hockey (Ice)",250,500,500,600,50,50,26,"Right foot",3,3.4,"Ring finger",September,Fall,No,No,Meat,Water,Science,8,9,4,"Yes - broadband connection","Cell phone",200,200,3,1,6,1,8,5,1,5,2,2,8,1,Some,"Graduate degree",Pop,Fly,Happy,"Sports person","Wildlife, animals"
USA,IL,2019,"10        ",Female,15,Right-Handed,162,23,142,2,Car,15,1.792,40,Soccer,900,1000,1000,1000,300,100,23,"Same length",65,60,"Index finger",April,Fall,No,No,"No favorite",Coffee,English,7,20,5,"Yes - other","Text messaging",8,10,4,1,1,5,0,0,2,2,0,0,0,0,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,Health
USA,IL,2015,"12        ",Female,17,Left-Handed,158,24,162,2,Bus,80,.36,46,Soccer,609,500,800,400,850,999,22,"Right foot",75,80,"Ring finger",January,Fall,No,No,Pizza/Pasta,Water,History,7,11,4,"Yes - other","Text messaging",180,200,7,4,10,2,7,11,16,15,16,5,0,5,Some,"Graduate degree",Pop,,Rich,"Doctor or nurse","International aid"
USA,IL,2016,"9         ",Female,15,Right-Handed,165,24,163,1,Car,30,.736,41,Rowing,900,850,900,800,400,500,23,"Right foot",75,59,"Index finger",April,Fall,No,No,Salads,Water,Music,8,10,3,"Yes - other","Text messaging",60,50,8,1,12,8,16,4,9,10,6,2,0,4,"A lot","Graduate degree","Punk rock",Fly,Happy,"Coach or club leader","International aid"
USA,IL,2017,"9         ",Female,14,Right-Handed,164,"22.5 ",161,2,Car,25,0.35,35,Tennis,900,250,250,350,750,1000,23.5,"Left foot",100,101,"Ring finger",April,Fall,Yes,No,Meat,Juice,Music,8,5,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",25,100,7,0,3,4,2,5,8,10,12,1,0,8,Some,"Graduate degree",Pop,Invisibility,Happy,"Musician or singer","Wildlife, animals"
USA,IL,2017,"12        ",Female,16,Right-Handed,63,27,160,5,Car,16,0.482,48,Other,750,500,600,800,400,500,27,"Same length",91,96,"Ring finger",August,Summer,No,Yes,"Rice/Noodle dishes",Water,Science,6,8,3,"Yes - broadband connection","In person",2,3,3,4,30,5,2,10,0,2,35,15,0,3,Some,"Graduate degree",Other,"Freeze time",Happy,Relative,Health
USA,IL,2015,"12        ",Female,17,Right-Handed,63,23,150.5,1,Car,20,0.408,36,Basketball,800,800,900,850,950,1000,22,,7.5,6.6,"Ring finger",September,Fall,No,No,Meat,"Soft drink (non-caffeinated)",English,5,6,5,"Yes - broadband connection","Text messaging",600,650,3,1,7,10,0,2,9,160,3,15,0,0,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,Other
USA,IL,2019,"10        ",Female,16,Right-Handed,155,23,158,2,Car,20-25,.61,.56,Running/Jogging,700,700,700,600,500,900,23,"Same length",70,70,"Ring finger",September,Fall,No,No,Other,Water,Music,6-8,8,5,"Yes - other","Text messaging",20-45,20-30,7,1,"1 1/2",5,1,0,6,3,2,1,3,1,Some,"Graduate degree",Other,Invisibility,Happy,Other,"Arts, culture, sports"
USA,IL,2014,"12        ",Female,17,Right-Handed,165.1,22.86,165.4,1,Car,8,.72,34,Other,888,765,866,882,471,626,22.61,"Right foot",27.5,30,"Ring finger",May,Fall,No,No,"No favorite",Water,"Mathematics and statistics",6,9,5,"Yes - other","Text messaging",900,950,15,1,15,4,8,0,8,50,5,8,0,10,"A lot",Other,Techno/Electronic,"Freeze time",Rich,Relative,"Wildlife, animals"
USA,IL,2018,"12        ",Female,17,Right-Handed,168,23.5,172,3,Car,10,.447,62,Basketball,0,0,0,200,500,500,21,"Same length",65,64,"Index finger",September,Fall,No,No,Desserts,Water,Science,8,10,2,"Yes - other","In person",20,25,10,1,15,5,12,0,3,3,10,15,15,5,Some,"Graduate degree",Country,"Freeze time",Happy,"Doctor or nurse","Education/Youth development"
USA,IL,2014,"12        ",Female,17,Right-Handed,157.5,23,170,1,Car,15,.377,39,Walking/Hiking,300,200,500,600,1000,1000,23,"Same length",70,70,"Same length",June,Summer,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",6,9,4,"Yes - broadband connection","Text messaging",150,150,6,0,10,10,0,0,7,12,14,3,0,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,Health
USA,IL,2016,"9         ",Male,15,Right-Handed,182,26,185.5,1,Car,10,.742,58,Lacrosse,900,800,500,500,900,1000,26,"Left foot",8.5,9,"Ring finger",January,Summer,Yes,No,Meat,Other,English,8," 10",3,"Yes - broadband connection","Internet chat or instant messaging",20,30,8,1,8,4,10,4,5,5,5,2,0,0,"A lot","Graduate degree",Country,"Freeze time",Famous,"Business person","Education/Youth development"
USA,IL,2015,"12        ",Male,17,Left-Handed,172.7,26,173,2,Car,20,.273,30,"Martial Arts",642,358,791,492,102,316,26,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2016,"9         ",Female,14,Right-Handed,162,26,157,3,Car,10,.542,36,Rowing,780,500,650,800,999,1000,25,"Right foot",800,900,"Ring finger",September,Fall,Yes,No,"No favorite",Water,Languages,8,10,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",15,71,7,10,15,6,13,0,20,20,17,4,0,3,"A lot","Graduate degree","Rap/Hip hop","Super strength",Healthy,Relative,Health
USA,IL,2015,"12        ",Male,17,Right-Handed,180,26,174,1,Car,7,.335,42,Other,578,519,412,487,898,797,26,"Same length",80,80,"Same length",April,Fall,No,No,Meat,Water,History,6,9,5,"Yes - broadband connection","In person",150,150,8,.5,2,3,1,18,3,4,10,6,16,1,Some,"Undergraduate degree",Techno/Electronic,"Freeze time",Happy,"Musician or singer","Education/Youth development"
USA,IL,2012,"12        ",Female,18,Right-Handed,166.2,26,163,2,Car,5,.325,42,Running/Jogging,1000,1000,48,401,150,305,26,"Same length",70,70,"Same length",September,Summer,Yes,No,Seafood,Water,"Physical education",7,8,5,"Yes - broadband connection","Text messaging",150,150,25,1,3,10,10,0,0,24,2,5,10,6,"Very little","Graduate degree","Heavy metal",Invisibility,Healthy,"Musician or singer","International aid"
USA,IL,2018,"12        ",Female,17,Right-Handed,176,22,165,1,Car,8,0.446,40,Running/Jogging,999,500,900,400,2,150,23,"Left foot",7.5,7,"Index finger",February,Fall,Yes,Yes,Fruit,Water,"Mathematics and statistics",8,8,4,"Yes - dial-up connection","In person",5,6,4,0,4,1,,,,,,,,,,,,,,,
USA,IL,2014,"12        ",Female,17,Right-Handed,154.9,154.5,,2,Car,15,1.319,74,Other,,,,,,,,"Same length",,,,March,Fall,No,No,Meat,Juice,"Mathematics and statistics",5,4,7,"Yes - broadband connection","Internet chat or instant messaging",50,60,46,12,2,4,2,1,48,168,160,8,0,2,"Very little","Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Relative,Health
USA,IL,2016,"9         ",Female,15,Left-Handed,167,23,167,2,Car,40,0.8,51,Swimming,,,,,,,22,"Left foot",7.5,7,"Index finger",October,Summer,Yes,No,Pizza/Pasta,Tea,English,7,,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",25,25,2,,,,,,,,,,,,,,,,,,
USA,IL,2016,"9         ",Female,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2015,"12        ",Male,17,Right-Handed,170,27,162,1,Bus,25,0.332,46,None,,,,,,,26,"Right foot",65,69,"Ring finger",April,Spring,Yes,No,Pizza/Pasta,Water,Science,6.5,11,5,"Yes - broadband connection","Cell phone",5,5,0,1,1,4,0,40,1,1,20,40,0,2,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Other,Other
USA,IL,2014,"12        ",Female,17,Right-Handed,,,,1,Bus,15,0.39,0.39,Baseball/Softball,1000,1000,1000,1000,1000,1000,,"Same length",,,"Index finger",June,Summer,Yes,No,Fruit,Water,Other,6,9,3,"Yes - broadband connection","Cell phone",9,12,3,2,1,4,0,0,9,2,9,6,0,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Healthy,"Business person",Health
USA,IL,2012,"12        ",Female,17,Right-Handed,157.4,15.24,157.4,1,Car,"30 ",1.1,64,Dancing,100,100,1000,1000,100,100,,"Left foot",,,"Ring finger",January,Spring,Yes,No,"Rice/Noodle dishes",Water,English,8,,,,"Text messaging",120,120,8,1,2,4,5,0,1,6,1,3,5,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,Health
USA,IL,2019,"10        ",Female,15,Right-Handed,162.6,22,64,2,Car,25,0.243,39,Skateboarding/Rollerblading,866,850,786,856,11,144,23,"Left foot",7,7.8,"Ring finger",January,Spring,No,No,Fruit,Water,History,8,8,5,"Yes - other","In person",50,65,45,2,7,60,10,3,80,80,95,5,0,50,"A lot","Graduate degree",Other,Telepathy,Happy,Relative,"International aid"
USA,IL,2018,"12        ",Female,18,Left-Handed,165,21,166,1,Car,14,.766,56,Athletics,800,600,700,700,800,800,21,"Same length",85,75,"Index finger",February,Summer,No,No,"Rice/Noodle dishes",Juice,"Physical education",6,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,30,10,0,1,2,8,0,12,3,5,6,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,"Business person",Health
USA,IL,2019,"10        ",Female,15,Right-Handed,147,15,55,2,Bus,10,0.485,41,Walking/Hiking,1000,500,800,1000,400,450,15,"Same length",80,90,"Ring finger",August,Fall,No,No,Pizza/Pasta,Water,"Physical education",7,5.5,3,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",75,85,30,0,8,10,3,6,35,45,45,9,0,14,"Very little","Graduate degree",Other,"Freeze time",Healthy,Relative,Environment
USA,IL,2019,"12        ",Female,17,Right-Handed,169,24,169,1,Car,12,0.351,44,Dancing,1000,1000,1000,1000,500,500,24,"Same length",110,80,"Index finger",June,Summer,No,No,Seafood,Tea,English,6,9,3,"Yes - broadband connection","In person",25,35,40,"1 1/2",2,3,3,1,20,4,3,56,0,0,Some,"Graduate degree",Pop,Invisibility,Happy,"Musician or singer",Health
USA,IL,2016,"9         ",Male,14,Right-Handed,170,26,169,2,Car,20,0.728,65,Tennis,857,894,750,700,122,122,26,"Same length",90,90.5,"Ring finger",June,Summer,Yes,No,"No favorite",Water,Other,8,10.5,3,"Yes - other","Cell phone",5,7,35,.25,20,42,14,12,3,2,12,12,0,2,Some,"Graduate degree",Pop,"Freeze time",Happy,"Coach or club leader",Other
USA,IL,2014,"12        ",Female,17,Right-Handed,197,27,176,1,Bus,10,0.365,38,Tennis,200,800,1000,1000,500,100,27,"Same length",1.11,1,"Index finger",August,Summer,No,No,Fruit,Water,Art,8,10,2,"Yes - broadband connection","Text messaging",3,3,2,0,1,1,0,0,24,10,10,5,0,5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Musician or singer","Arts, culture, sports"
USA,IL,2014,"12        ",Male,17,Right-Handed,170,25,180,2,Bus,15,.339,42,None,600,600,600,600,300,500,25,"Same length",76,76,"Same length",July,Summer,No,No,Meat,Water,"Mathematics and statistics",8,10,4,"Yes - broadband connection","Text messaging",100,90,14,1,10,14,6,0,6,4,14,3,0,6,"Very little","Graduate degree","Heavy metal","Freeze time",Happy,"Business person",Health
USA,IL,2013,"12        ",Female,17,Right-Handed,157,21,142,2,Car,6,.377,33,Soccer,750,750,600,750,250,250,21,"Left foot",,68,"Ring finger",January,Summer,No,No,Fruit,Water,English,6.5,8,7,"Yes - broadband connection","Text messaging",20,20,5,0,5,6,3,1,2,2,4,3,6,4,"A lot","Graduate degree","Rock and roll","Freeze time",Happy,Other,"Wildlife, animals"
USA,IL,2019,"10        ",Male,15,Right-Handed,170,30,180,2,Bus,30,0.324,40,Other,695,529,337,176,556,1000,30,"Same length",70,80,"Ring finger",June,Spring,No,No,"No favorite",Tea,Science,6-7,9-12,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,20,30,0,28,30,10,42,10,10,10,0,0,15,"A lot",Other,Other,Telepathy,Happy,Other,"International aid"
USA,IL,2018,"12        ",Female,17,Right-Handed,143,22.5,67,2,Car,5,.296,45,Other,1000,1000,1000,1000,500,500,22.5,,80,75,"Index finger",May,Spring,Yes,No,Pizza/Pasta,Milk,Science,7,10,4,"Yes - broadband connection","Text messaging",5,15,5,1,15,7,13,2,5,5,40,0,0,5,"A lot","Graduate degree",Other,Fly,Rich,Relative,"Wildlife, animals"
USA,IL,2017,"9         ",Female,14,Right-Handed,151,21,146,1,Walk,17,0.476,45,"Hockey (Field)",749,487,642,567,390,449,21,"Same length",76,80,"Ring finger",August,Fall,Yes,No,"Rice/Noodle dishes",Milk,Music,8,5,3,"Yes - broadband connection","Text messaging",25,17,3,2,8,14,1,0,0,1,30,21,0,15,"Very little",Other,Other,Fly,Happy,"Musician or singer",Environment
USA,IL,2019,"12        ",Female,17,Right-Handed,167,27,156,1,Car,10,0.372,46,Walking/Hiking,1000,900,1000,1000,600,700,26,"Right foot",75,84,"Ring finger",January,Winter,No,No,Desserts,Water,Art,6,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,35,2,,,,,,,,,,,,,,,,,,
USA,IL,2019,"10        ",Male,15,Right-Handed,172.5,30,175,2,Bus,25,0.318,38,Soccer,1000,800,1000,1000,100,1000,29,"Right foot",80,95,"Ring finger",February,Fall,No,No,Meat,Juice,"Computers and technology",6,3,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",80,70,5,40,25,10,10,40,75,75,168,0,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,"Musician or singer",Environment
USA,IL,2019,"10        ",Female,15,Right-Handed,157.4,27,160,2,Bus,20,0.652,49,Swimming,497,556,743,642,48,321,27,"Same length",9,7,"Index finger",August,Winter,Yes,No,"No favorite",Water,Science,5,3,6,"Yes - other","Text messaging",5,4,5,1,3,15,4,10,15,20,30,8,0,15,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Relative,"Wildlife, animals"
USA,IL,2016,"9         ",Male,12,Right-Handed,177,30,177,2,Car,15,.347,47,Other,1000,850,973,1000,775,775,30,"Same length",76,74,"Index finger",August,Summer,No,Yes,,Milk,"Physical education",8,9,4,"Yes - broadband connection",,2,1,5,1,5,5,6,2,4,3,2,3,2,2,Some,"Graduate degree",Pop,Fly,Happy,"Sports person",Other
USA,IL,2015,"10        ",Female,16,Right-Handed,10,10,,2,Car,"3 ",1.676,74,Tennis,1000,1000,1000,1000,1000,1000,10,"Left foot",10,"10 ","Index finger",July,Fall,No,No,Pizza/Pasta,Water,Other,6,8,4,"Yes - broadband connection","Cell phone",6,7,12,12,12,12,12,12,12,12,12,12,12,24,"A lot",Other,"Rap/Hip hop",Telepathy,Happy,Relative,"International aid"
USA,IL,2016,"9         ",Female,15,Right-Handed,162,23,152,1,Car,10,0.821,49,Soccer,400,500,700,500,600,700,23.8,"Same length",101.1,76.2,"Ring finger",October,Summer,No,No,Poultry,Milk,English,8,11,5,"Yes - other","Text messaging",45,50,6,5,8,5,9,2,10,10,10,5,0,2,Some,"High school",Pop,Fly,Happy,"Musician or singer",Health
USA,IL,2019,"10        ",Male,15,Right-Handed,170,10,167,2,Car,30,0.343,45,Soccer,1000,775,845,845,503,711,16,"Right foot",7,8,"Ring finger",June,Fall,No,No,Fruit,Water,Science," 9",11,5,"Yes - broadband connection","Text messaging",30,50,4,0,4,5,5,2,1,2,3,1,0,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,"Wildlife, animals"
USA,IL,2017,"9         ",Female,14,Right-Handed,154,23,160,1,Car,10,.324,33,"Hockey (Field)",877,840,818,754,492,535,23,"Same length",85,95,"Ring finger",January,Winter,No,No,"No favorite",Water,"Computers and technology",8,11,4,"Yes - broadband connection","In person",11,7,3,0,15,21,,,,,,,,,,,,,,,
USA,IL,2018,"12        ",Male,18,Right-Handed,181,30,182,1,Car,10,.3,72,Other,800,600,500,700,1000,1000,30,"Same length",70,60,"Same length",September,Summer,No,No,"No favorite",Water,English,5,9,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,15,4,1,1,8,2,20,3,2,30,20,0,0,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Business person","Arts, culture, sports"
USA,IL,2017,"12        ",Male,17,Right-Handed,175,31,175,2,Car,3,.375,39,Basketball,500,500,100,100,0,1000,31,"Same length",70,75,"Ring finger",March,Fall,No,No,Poultry,Juice,"Physical education",5,5,4,"Yes - broadband connection",Other,15,23,7,0,25,0,7.5,1,5,1,3,0,20,0,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,Relative,"Arts, culture, sports"
USA,IL,2019,"12        ",Female,18,Right-Handed,5/2,9,102,0,Walk,15,.3456,50,Other,10,40,36,1000,20,70,9,"Same length",4,"6 ","Ring finger",December,Winter,No,No,Seafood,"Soft drink (caffeinated)",Music,"6 hrs","10 hr",2,"Yes - broadband connection","Text messaging",30,40,"5 hrs","2 hrs","3 hrs","1 hrs","1 hrs","0 hrs","1 hrs","6 hrs","4 hrs","9 hrs","0 hrs","1 hrs","A lot","Graduate degree",Pop,Invisibility,Famous,"Musician or singer","Wildlife, animals"
USA,IL,2012,"12        ",Female,18,Right-Handed,165.1,22.86,165.1,1,Bus,75,1.087,,None,80,219,503,385,0,128,22.86,"Same length",,,"Ring finger",January,Summer,No,No,Desserts,Water,Science,9,12,3,"Yes - other","Text messaging",10,20,32,1,1,5,0,1,0,12,1,9,0,1,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,"International aid"
USA,IL,2018,"12        ",Female,17,Right-Handed,179,26,177,1,Car,12,.825,48,Other,802,497,856,866,754,1000,27,"Left foot",75,90,"Ring finger",February,Fall,No,No,Fruit,Water,"Mathematics and statistics",6,8,4,"Yes - broadband connection","Text messaging",10,20,5,2,12,8,14,0,20,5,21,3,0,7,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,Health
USA,IL,2016,"9         ",Female,15,Right-Handed,54,22,156,1,Car,15,0.742,45,Lacrosse,1000,1000,1000,700,500,1000,22,"Same length",10.5,6.75,"Index finger",October,Summer,No,No,Desserts,Water,English,7,11,5,"Yes - other","Text messaging",30,210,3,1,17,5,12,0,6,4,4,7,0,5,"A lot",Other,Other,Fly,Happy,Other,"Wildlife, animals"
USA,IL,2019,"10        ",Male,15,Right-Handed,155,25.4,188,2,Car,20,.4,38,Running/Jogging,1000,1000,1000,1000,1000,1000,25.4,"Same length",85,85,"Same length",July,Fall,No,No,Meat,Water,"Physical education",6,8,4,"Yes - dial-up connection","In person",10,7,0,15,4,6,7,15,0,17,120,40,0,0,Some,"Graduate degree",Other,Telepathy,Happy,Relative,Environment
USA,IL,2017,"9         ",Male,15,Right-Handed,190.5,28.8,195,2,Car,15,0.404,62,Baseball/Softball,588,765,278,706,706,426,29,"Left foot",100,95,"Index finger",December,Spring,,No,"No favorite",Water,"Mathematics and statistics",7,100,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,100,9,4,9,17,24,5,3,8,2,5,8,3,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Rich,"Religious figure","Education/Youth development"
USA,IL,2017,"9         ",Male,15,Right-Handed,166,24,166.5,2,Bus,70,2.5,38,Basketball,1000,965,1000,459,555,900,23.5,"Right foot",84,89,"Ring finger",September,Summer,Yes,No,Poultry,Water,"Mathematics and statistics",7.5,11,4,"Yes - broadband connection","Text messaging",10,25,9,12,10,7,9,9,5,19,9,12,0,8,Some,"Graduate degree","Rap/Hip hop",Fly,Famous,Actor,Environment
USA,IL,2019,"10        ",Female,16,Right-Handed,60,152.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2019,"10        ",Female,15,Right-Handed,160,"22.5 ",160,2,Walk,30,0.65,31,Other,786,770,950,950,50,50,22.5,"Same length",65,65,"Same length",February,Fall,No,No,"Rice/Noodle dishes",Water,Art,8,5,5,"Yes - other","Text messaging",250,300,15,1,9,4,2,0,24,20,30,6,0,14,Some,"Graduate degree",Other,"Freeze time",Happy,Relative,Environment
USA,IL,2016,"9         ",Female,15,Right-Handed,168,24,164,2,Car,25,.752,75,Baseball/Softball,600,700,1000,1000,200,500,22,"Right foot",70,70,"Same length",September,Summer,No,No,Pizza/Pasta,Water,History,8,12,4,,,,,,,,,,,,,,,,,,,,,,,
