Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IL,2013,"12        ",Female,17,Right-Handed,153,57,152,1,Car,16,0.435,34,Swimming,476,1000,267,139,1000,1000,55,"Right foot",180,170,"Index finger",February,Fall,No,No,Pizza/Pasta,"Soft drink (caffeinated)",History,5,10,3,"Yes - broadband connection","In person",10,12,13,2,10,7,7,0,20,1,28,7,0,5,Some,"Graduate degree","Punk rock",Fly,Rich,"Musician or singer",Health
USA,IL,2015,"12        ",Female,16,Right-Handed,,,,3,Bus,45,0.307,35,Soccer,100,50,200,250,200,200,,,,,,August,Summer,No,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",8,10,5,"Yes - broadband connection","Text messaging",2000,2500,10,2,1,0,0,0,12,21,10,0,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Business person","Education/Youth development"
USA,IL,2019,"12        ",Female,16,Left-Handed,162,23,164,1,Car,5,0.474,45,Baseball/Softball,700,300,200,100,200,900,24,"Left foot",73,75,"Ring finger",February,Winter,Yes,No,Poultry,Water,"Mathematics and statistics",8,10,3,"Yes - broadband connection","Text messaging",50,50,10,.5,1,5,0,0,10,2,11,5,11,1,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Relative,"Education/Youth development"
USA,IL,2018,"12        ",Male,17,Ambidextrous,180.3,25,,4,Car,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2019,"10        ",Male,15,Right-Handed,68,22.86,75,3,Bus,15-20," 0.30",41,Running/Jogging,545,535,1000,642,412,412,75,"Same length",95,95,"Same length",April,Summer,No,No,Desserts,Other,"Physical education",9-10,7-5,"7 1/2","Yes - other","Internet chat or instant messaging",21,50,2,6,1-2,1,1-2,1-4,1,1,1,1-3,0,15min,"A lot","Graduate degree",Other,Invisibility,Rich,Other,"Wildlife, animals"
USA,IL,2018,"12        ",Male,16,Left-Handed,190.5,28,203,3,Car,8,0.392,61,Lacrosse,1000,1000,348,118,856,695,28,"Same length",87,90,"Ring finger",August,Spring,No,No,Meat,Water,"Mathematics and statistics",6,8,5,"Yes - broadband connection","Text messaging",50,50,8,0.5,6,3,12,12,3,5,5,0,0,5,Some,"Graduate degree",Pop,Telepathy,Rich,"Business person","Education/Youth development"
USA,IL,2019,"12        ",Male,17,Right-Handed,186,30,198,1,Car,12,.338,40,Basketball,1000,750,250,250,1000,1000,30,"Same length",110,110,"Same length",February,Fall,Yes,No,Seafood,Water,History,7,10,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",50,75,11,7,3,2,15,1,15,6,2,10,0,1,Some,"Graduate degree","Rock and roll",Fly,Happy,"Coach or club leader",Environment
USA,IL,2018,"12        ",Male,16,Right-Handed,182,29,182,1,Car,6,0.394,55,Other,1000,1000,1000,1000,850,850,29,"Same length",90,75,"Index finger",October,Fall,No,No,Pizza/Pasta,Water,Music,6,8,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",10,10,5,0,3,10,25,1,20,5,2,1,20,4,Some,"High school",Country,Telepathy,Happy,"Coach or club leader","Education/Youth development"
USA,IL,2015,"12        ",Male,17,Right-Handed,183,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IL,2018,"12        ",Female,17,Right-Handed,157.5,24,100,2,Car,13,.495,40,Dancing,100,100,1000,100,30,26,24,"Same length",72,72,"Same length",June,Summer,No,No,Salads,Water,English,7.5,9,5,"Yes - other","Text messaging",100,100,6,2,1,7,5,1,1,15,10,9,6,3,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,Health
USA,IL,2016,"12        ",Female,17,Right-Handed,163,21,155,2,Car,5,0.452,46,Running/Jogging,700,900,950,800,500,600,22,"Left foot",76,69,"Same length",March,Summer,Yes,No,"Rice/Noodle dishes",Water,Geography,7,6,3,"Yes - broadband connection","In person",50,200,15,2,21,16,15,1,6,10,14,2,25,7,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"International aid"
